,incident_id,crime_type,district,city,state,address,latitude,longitude,incident_datetime,officer_id,officer_first_name,officer_last_name,badge_number,suspect_id,suspect_first_name,suspect_last_name,suspect_age,suspect_gender,suspect_race,victim_id,victim_first_name,victim_last_name,victim_age,victim_gender,victim_phone,weapon_used,severity,case_status,resolution,num_arrests,property_loss_usd,reported_online,notes
268,INC001326,DV,East  ,Riverside,AZ,2009 Washington Ave,34.635872,-118.873414,2022-12-23 15:32:23,OFF0111,Thomas,Davis,8775.0,SUS00144,John,Scott,42.0,female,asian,VIC00668,William,White,-20.0,male,424-237-6343,Blunt Object,1,Resolved,NO ARREST,1.0,12682.83,No,Incident at 2009 Washington Ave. Officer responded at scene.
269,INC99619,Murder,Northwest,Oakdale,CA,8687 Maple Dr,32.900616,-82.125268,2024-11-16 09:47:18,OFF0118,Barbara,Lee,1760.0,SUS00372,Nancy,Wright,40.0,FEMALE,asian,VIC00081,Charles,Lee,14.0,FEMALE,2593166528,Bat,High,OPEN,Arrest Made,5.0,17774.24,YES,Incident at 8687 Maple Dr. Officer responded at scene.
280,INC003208,Drug Offense,Midtown  ,Centerville,TX,1394 Park Rd,30.836718,-85.884728,2021-08-04 01:29:11,OFF0035,THOMAS,Martin,5725.0,SUS00613,Daniel,Harris,46.0,Unknown,White,VIC00961,Joseph,Martin,215.0,Unknown,430-264-8626,Firearm,1,Pending,Dismissed,3.0,36891.68,False,Incident at 1394 Park Rd. Officer responded at scene.
293,INC000817,Narcotics,Southeast  ,Lakewood,AZ,7475 Cedar Lane,33.328575,-86.928454,2018-05-29 19:47:34,OFF0043,Patricia,Hall,9538.0,SUS00539,Jennifer,Williams,21.0,female,asian,VIC00317,Mary,Davis,58.0,male,743-335-7491,Unarmed,Med,Pendng,Dismissed,2.0,8817.3,Yes,Incident at 7475 Cedar Lane. Officer responded at scene.
322,INC003319,Fire Setting,central,Hillcrest,CA,1694 Maple Dr,38.261128,-90.640962,2021-02-18 18:21:45,OFF0042,Patricia,Torres,8610.0,SUS00336,Patricia,Johnson,24.0,m,White,VIC00667,James,Hall,39.0,Other,623-918-8417,blunt object,4,CLOSED,arrest made,2.0,36175.9,True,Incident at 1694 Maple Dr. Officer responded at scene.
327,INC002459,BURGLARY,NORTHEAST,Hillcrest,FL,9233 Main St,37.505751,-92.358292,2024-09-21 12:39:29,OFF0098,Richard,Lee,1509.0,SUS00790,Jennifer,Taylor,50.0,Female,BLACK,VIC00011,Susan,Walker,44.0,M,674-377-7522,Pistol,3,closed,Dismissed,4.0,40023.74,0,Incident at 9233 Main St. Officer responded at scene.
339,INC001945,cyber crime,Wes,Riverside,TX,3403 Elm Blvd,35.414677,-96.873263,2020-05-11 04:22:53,OFF0036,Patricia,White,8120.0,SUS00742,Joseph,Hill,169.0,MALE,White,VIC00888,Carol,Hill,87.0,Unknown,8866695373,Rifle,High,Pendng,Warning Issued,0.0,16406.68,0,Incident at 3403 Elm Blvd. Officer responded at scene.
343,INC004521,Theft , Northwest,Lakewood,TX,3223 Oak Ave,27.074149,-107.86631,2019-04-10 10:48:12,OFF0089,Linda,Jackson,9163.0,SUS00734,Robert,Garcia,48.0,Other,Unknown,VIC00165,Ashley,Scott,16.0,Female,573-635-6034,Bat,Med,closed,No Arrest,0.0,34775.89,Yes,Incident at 3223 Oak Ave. Officer responded at scene.
348,INC003439,HOMICIDE,West,Lakewood,CA,5249 Oak Ave,46.313372,-105.249835,2024-02-08 04:18:49,OFF0131,Michael,Brown,9972.0,SUS00661,Patricia,Allen,35.0,female,Hispanic,VIC00005,Michelle,Thomas,11.0,F,642-766-8977,Knife,CRITICAL,Under Investigation,Arres Made,1.0,12293.99,no,Incident at 5249 Oak Ave. Officer responded at scene.
349,INC002542,Cyber Crime, South,Riverside,AZ,8694 Washington Ave,47.569559,-102.690916,2019-09-11 18:43:10,OFF0011,Emily,Smith,9663.0,SUS00078,Ashley,Torres,75.0,F,Asian,VIC00409,Karen,Lee,57.0,Male,954-575-3381,Gun,high,open,Case Dismissed,1.0,26152.21,False,Incident at 8694 Washington Ave. Officer responded at scene.
360,INC001092,Sexual Assault,CENTRAL,Fairview,TX,9586 Elm Blvd,31.656036,-102.805255,02/06/2019 22:04,OFF0132,Jessica,Davis,6099.0,SUS00561,John,Jackson,69.0,m,Black,VIC00687,Mark,Nguyen,58.0,female,821-220-5985,Gun,MEDIUM,Pending,Case Dismissed,3.0,34454.75,NO,Incident at 9586 Elm Blvd. Officer responded at scene.
400,INC004014,dui,Southeast  ,Fairview,IL,6810 Oak Ave,39.423429,-92.68095,2023-08-22 19:40:49,OFF0093,Daniel,Moore,6175.0,SUS00614,William,Taylor,19.0,M,Black,VIC00148,Emily,Hall,44.0,f,224-946-3578,Rifle,low,Resolved,Arres Made,5.0,23912.02,Yes,Incident at 6810 Oak Ave. Officer responded at scene.
401,INC000914,Abduction,SOUTHWEST,Hillcrest,NY,9232 Main St,30.112818,-102.037653,2023-08-16 10:55:03,OFF0133,Susan,Harris,5553.0,SUS00206,Patricia,Young,35.0,f,asian,VIC00020,James,Torres,80.0,female,(304) -50-1-3320,Bat,CRITICAL,closed,Arrest Made,0.0,35668.41,1,Incident at 9232 Main St. Officer responded at scene.
403,INC000631,Sexual Assault,Eas,Lakewood,FL,1017 Lincoln St,35.21482,-72.657327,2023-10-03 22:04:31,OFF0006,Richard,Brown,8502.0,SUS00792,Jessica,Walker,75.0,MALE,White,VIC00940,David,Hall,23.0,Other,239-157-4394,KNIFE,low,OPEN,Arres Made,0.0,22854.79,False,Incident at 1017 Lincoln St. Officer responded at scene.
406,INC002307,Theft ,Sou,Maplewood,NY,3138 Elm Blvd,26.325326,-110.436789,2023-05-04 03:30:59,OFF0003,Matthew,Smith,7432.0,SUS00659,Anthony,Miller,24.0,Female,Black,VIC00235,James,Moore,31.0,female,515-836-2160,hands,Crit,Closed,warning,0.0,24798.63,yes,Incident at 3138 Elm Blvd. Officer responded at scene.
408,INC003450,D.U.I., Midtown,Oakdale,TX,8024 Lincoln St,40.203879,-107.144587,2024-06-06 22:08:52,OFF0038,Chris,Green,3161.0,SUS00447,Thomas,Wright,-65.0,female,white,VIC00889,Sarah,Garcia,87.0,Unknown,674-591-2941,Knife,MEDIUM,OPEN,Arrest Made,0.0,13045.12,1,Incident at 8024 Lincoln St. Officer responded at scene.
427,INC000749,vandalism,East  ,Lakewood,OH,3942 Washington Ave,27.100904,-107.621207,2020-01-01 04:10:49,OFF0014,  Chris  ,Harris,6142.0,SUS00321,Nancy,Scott,48.0,f,Other,VIC00068,Mark,Garcia,17.0,Other,489-641-5874,KNIFE,2,closed,Arrest Made,3.0,14000.99,Yes,Incident at 3942 Washington Ave. Officer responded at scene.
428,INC001806,Domestic Violence,SOUTHEAST,Lakewood,FL,6784 Maple Dr,30.814157,-94.189004,2018-12-18 06:33:19,OFF0014,Patricia,Smith,3068.0,SUS00065,Matthew,Brown,65.0,male,Unknown,VIC00208,Mary,White,74.0,Female,470-283-8039,Bat,Critical,Under Investigation,warning,2.0,28335.96,YES,Incident at 6784 Maple Dr. Officer responded at scene.
433,INC001840,Tresspassing,Northeast  ,Oakdale,AZ,6539 Main St,46.800851,-81.972566,2024-08-06 15:20:22,OFF0073,Barbara,Johnson,2250.0,SUS00110,Barbara,Miller,26.0,m,White,VIC00326,William,Martin,75.0,Male,429-588-3689,Hands/Feet,CRITICAL,Investgation,Dismissed,4.0,42281.5,True,Incident at 6539 Main St. Officer responded at scene.
445,INC000309,THEFT, Southeast,Centerville,PA,9017 Washington Ave,41.703404,-75.78278,2021-12-20 17:43:28,OFF0134,Susan,Torres,7638.0,SUS00770,Carol,Jackson,25.0,FEMALE,hispanic,VIC00130,Michael,Williams,86.0,M,5052187756,Bat,high,OPEN,arrest made,0.0,15727.26,no,Incident at 9017 Washington Ave. Officer responded at scene.
477,INC004126,Sexual Assualt,Midtown,Hillcrest,TX,2206 Main St,39.760835,-107.901076,2022-09-25 23:53:09,OFF0150,Ashley,Harris,1254.0,SUS00588,Karen,Anderson,186.0,M,Other,VIC00885,Ashley,Thompson,48.0,M,763-638-5703,Knife,1,Open,Case Dismissed,2.0,26700.46,NO,Incident at 2206 Main St. Officer responded at scene.
506,INC002385,Domestic Violence,Northwest  ,Maplewood,FL,3465 River Rd,31.511928,-102.713722,2021-04-18 21:54:15,OFF0040,Carol,Anderson,5225.0,SUS00140,Susan,Green,285.0,m,White,VIC00979,Mary,Moore,42.0,Female,613-959-8644,firearm,Med,OPEN,Arres Made,2.0,17042.35,NO,Incident at 3465 River Rd. Officer responded at scene.
517,INC003381,Cybercrime,SOUTH,Fairview,NC,3892 River Rd,31.467854,-100.24099,2020-07-10 11:04:32,OFF0075,john,Thompson,9004.0,SUS00683,Barbara,Smith,63.0,MALE,hispanic,VIC00002,Mark,Jones,84.0,m,632-638-9665,Rifle,2,Under Investigation,Arres Made,5.0,48329.94,Yes,Incident at 3892 River Rd. Officer responded at scene.
518,INC002516,theft,Sou,Maplewood,TX,9270 Elm Blvd,30.336241,-111.746015,2020-12-20 17:27:18,OFF0109,Ashley,Walker,4962.0,SUS00689,Mary,Wright,66.0,MALE,white,VIC00801,David,Smith,38.0,MALE,709-604-7705,Pistol,Med,closed,Arrest Made,5.0,11424.35,1,Incident at 9270 Elm Blvd. Officer responded at scene.
523,INC002989,Fire Setting,Sou,Riverside,NY,7472 Main St,46.613271,-91.780879,2024-11-02 07:01:44,OFF0006,James,Moore,7093.0,SUS00345,Nancy,Thompson,36.0,male,Black,VIC00201,Robert,Thomas,32.0,Unknown,6156381457,Bat,High,OPEN,Arrest Made,0.0,41484.25,False,Incident at 7472 Main St. Officer responded at scene.
524,INC000695,Stealing, Central,Maplewood,NC,1887 Maple Dr,41.953167,-95.458107,2019-02-28 06:04:00,OFF0066,Barbara,Jackson,5759.0,SUS00043,David,Smith,43.0,f,BLACK,VIC00610,Susan,Torres,55.0,Unknown,914-919-4446,Rifle,3,closed,Dismissed,4.0,3890.15,Yes,Incident at 1887 Maple Dr. Officer responded at scene.
525,INC003847,DV,North  ,Springfield,OH,9744 Maple Dr,31.465364,-78.13982,2021-06-03 12:26:15,OFF0048,Matthew,Williams,8017.0,SUS00760,Thomas,Walker,32.0,f,White,VIC00134,Susan,Torres,57.0,Unknown,7399427081,firearm,2,closed,warning,2.0,17024.62,No,Incident at 9744 Maple Dr. Officer responded at scene.
548,INC001761,dui,northeast,Hillcrest,NY,8501 Washington Ave,28.134994,-83.79271,2020-09-17 07:29:35,OFF0125,karen,Nguyen,7885.0,SUS00490,Daniel,Miller,61.0,Male,Hispanic,VIC00961,Donna,Anderson,83.0,FEMALE,735-794-7508,Firearm,Low,Open,Arrest Made,0.0,14002.53,1,Incident at 8501 Washington Ave. Officer responded at scene.
552,INC002370,Deception,southeast,Lakewood,IL,6843 Main St,44.259753,-81.087591,2023-08-07 02:02:44,OFF0064,Anthony,Smith,5175.0,SUS00270,Daniel,Smith,51.0,female,white,VIC00143,Anthony,Taylor,39.0,m,630-937-2872,hands,CRITICAL,open,Dismissed,2.0,8206.79,no,Incident at 6843 Main St. Officer responded at scene.
554,INC003583,Kidnaping,Sou,Hillcrest,AZ,256 Oak Ave,27.479814,-71.098015,2022-02-08 12:06:36,OFF0050,Thomas,Johnson,9639.0,SUS00232,William,Young,47.0,MALE,hispanic,VIC00312,Barbara,Green,25.0,Male,660-563-5320,Knife,1,OPEN,Arrest Made,1.0,37972.11,False,Incident at 256 Oak Ave. Officer responded at scene.
558,INC003567,fraud,SOUTHWEST,Hillcrest,NC,3597 Sunset Blvd,32.054336,-116.448129,2022-01-20 00:44:23,OFF0022,John,Jones,7957.0,SUS00427,Joseph,Nguyen,56.0,F,Hispanic,VIC00757,Robert,Brown,-22.0,male,798-228-8705,blunt object,1,Closed,NO ARREST,1.0,44289.89.0,False,Incident at 3597 Sunset Blvd. Officer responded at scene.
561,INC003032,Fraudulent Activity,South,Maplewood,FL,5489 Maple Dr,40.015323,-88.039265,2022-04-12 06:29:30,OFF0132,Linda,Wright,5956.0,SUS00058,Jennifer,Thomas,55.0,F,white,VIC00984,Carol,Nguyen,67.0,f,900-312-4460,blunt object,1,CLOSED,Arrest Made,3.0,29895.42,No,Incident at 5489 Maple Dr. Officer responded at scene.
564,INC004007,Fire Setting,midtown,Hillcrest,NY,759 Oak Ave,36.10029,-75.883297,06-09-2020,OFF0122,David,Wright,3556.0,SUS00407,Michelle,Lee,33.0,Unknown,Asian,VIC00779,Mary,Thompson,84.0,f,8473535613,KNIFE,MEDIUM,CLOSED,Dismissed,0.0,44937.9.0,yes,Incident at 759 Oak Ave. Officer responded at scene.
572,INC001190,Abduction,SOUTH  ,Maplewood,CA,6686 River Rd,37.835254,98.0032,2024-07-22 12:15:15,OFF0148,Emily,Wilson,3058.0,SUS00006,Richard,Brown,28.0,MALE,BLACK,VIC00624,Michelle,Garcia,34.0,MALE,584-187-3144,Pistol,1,Resolved,Case Dismissed,0.0,27230.26,True,Incident at 6686 River Rd. Officer responded at scene.
584,INC002596,Drug Offence,Sou,Hillcrest,AZ,8554 Elm Blvd,30.297067,-74.085194,2022-06-11 07:36:40,OFF0014,Ashley,Allen,3009.0,SUS00768,Karen,Green,22.0,F,Hispanic,VIC00647,John,Williams,24.0,M,845-533-8939,Gun,1,Pending,Arrest Made,2.0,43475.24,True,Incident at 8554 Elm Blvd. Officer responded at scene.
585,INC001754,Fire Setting, West,Lakewood,IL,6396 Lincoln St,37.57266,-117.29686,2021-07-01 02:04:22,OFF0137,Susan,Scott,6742.0,SUS00069,Linda,Williams,282.0,MALE,Unknown,VIC00697,John,Taylor,26.0,m,748-188-6867,Firearm,low,Pendng,Case Dismissed,3.0,31991.19,yes,Incident at 6396 Lincoln St. Officer responded at scene.
588,INC002918,KIDNAPPING,Nor,Springfield,OH,7664 Lincoln St,29.449621,-103.974125,2022-12-07 20:03:42,OFF0004,Mark,Anderson,2351.0,SUS00770,Patricia,White,62.0,Female,Unknown,VIC00203,Jessica,Moore,79.0,female,369-965-5970,blunt object,4,under investigation,Dismissed,3.0,34745.18,NO,Incident at 7664 Lincoln St. Officer responded at scene.
610,INC001463,robbery,North,Fairview,GA,7254 Maple Dr,28.330986,-76.211975,2019-12-04 17:49:42,OFF0041,Richard,Lee,5876.0,SUS00284,Barbara,Davis,-21.0,Male,Hispanic,VIC00603,Mark,Green,27.0,Male,777-601-8138,Pistol,4,under investigation,Case Dismissed,5.0,17946.55,No,Incident at 7254 Maple Dr. Officer responded at scene.
